nome,titulo,faixa_etaria,budget_total,expectativa_alcance,canal_marketing,roi,cpc,numero_conversoes
Campanha_1403,Filme_5636,10,22236.08,572988,YouTube,196265.89,3.97,54374
Campanha_7127,Filme_7495,16,47395.19,917724,Instagram,397986.58,2.59,151391
Campanha_3354,Filme_2303,0,37819.15,289723,Instagram,317124.07,9.5,12643
Campanha_7242,Filme_683,14,4848.65,566315,Instagram,22789.38,7.73,95487
Campanha_380,Filme_15,14,49028.84,415300,Facebook,214588.91,3.87,61905
Campanha_3337,Filme_3812,16,24290.0,706401,Facebook,42108.71,3.67,14136
Campanha_8132,Filme_107,16,7073.12,768775,Facebook,59652.13,3.28,89899
Campanha_4856,Filme_8630,0,11072.64,500087,YouTube,51749.61,5.81,12572
Campanha_3228,Filme_6787,0,15036.8,574826,Google Ads,118111.07,1.5,24183
Campanha_4093,Filme_5605,18,31811.92,689970,Twitter,45379.81,0.71,134258
Campanha_4229,Filme_459,0,10335.5,422124,LinkedIn,5269.69,9.15,65352
Campanha_3168,Filme_6092,16,30965.2,794265,Instagram,169365.49,8.18,75733
Campanha_5977,Filme_7407,12,47614.7,940945,Google Ads,376667.5,0.87,110435
Campanha_4655,Filme_5266,10,40851.16,455681,Instagram,272269.77,2.64,5331
Campanha_7314,Filme_3135,14,24165.79,360309,YouTube,20987.32,1.68,15658
Campanha_7473,Filme_9958,0,9385.01,139417,Twitter,60519.87,8.67,2531
Campanha_828,Filme_2071,10,47645.54,869369,Facebook,85802.71,0.66,167420
Campanha_2486,Filme_4238,14,24749.8,518560,Google Ads,76040.36,2.15,99962
Campanha_4343,Filme_7812,10,8816.79,580824,Instagram,58929.61,2.8,110499
Campanha_2616,Filme_798,0,32872.51,892878,Google Ads,107763.95,3.57,157545
Campanha_6960,Filme_8101,14,25176.27,402219,Google Ads,56375.31,6.04,28737
Campanha_2298,Filme_9869,14,39847.72,554044,YouTube,235389.72,8.14,21271
Campanha_9875,Filme_2667,16,24979.78,488736,YouTube,200594.88,9.66,16072
Campanha_5607,Filme_7257,10,49841.3,451775,Facebook,494188.69,5.87,87716
Campanha_9983,Filme_685,10,27567.58,918888,YouTube,155911.42,7.43,64459
Campanha_8281,Filme_780,16,16329.6,412671,YouTube,92102.85,2.65,7316
Campanha_7169,Filme_3893,12,27202.69,853573,Twitter,33559.08,3.19,128242
Campanha_501,Filme_5991,10,40831.75,777254,LinkedIn,359630.3,1.57,126043
Campanha_541,Filme_6836,10,18717.05,615119,Google Ads,19633.14,4.23,38388
Campanha_1477,Filme_3341,16,18372.73,406867,Facebook,164212.5,8.73,13598
Campanha_499,Filme_9535,14,20598.95,863203,Instagram,126669.77,3.56,87064
Campanha_7045,Filme_9004,16,24086.46,176187,Facebook,114251.4,4.05,25800
Campanha_8579,Filme_5754,0,46269.79,43437,LinkedIn,301494.41,7.52,3494
Campanha_9108,Filme_3241,10,14958.11,685661,Instagram,26460.63,7.62,41563
Campanha_9952,Filme_129,16,43365.16,210284,Instagram,247613.35,1.89,33234
Campanha_4477,Filme_9831,0,11659.67,947733,YouTube,32256.44,3.38,53924
Campanha_7528,Filme_7208,0,14170.29,603710,Facebook,32156.1,1.84,8949
Campanha_8837,Filme_5346,10,30056.35,599366,Instagram,52339.9,3.02,94218
Campanha_7788,Filme_6533,14,42639.51,547781,LinkedIn,267588.4,3.87,75707
Campanha_6137,Filme_4689,10,4789.9,663383,Facebook,11977.8,6.77,96035
Campanha_6631,Filme_6043,14,12311.71,929208,Instagram,8102.17,9.14,115338
Campanha_1727,Filme_487,10,45301.83,897288,Facebook,227961.81,7.96,89825
Campanha_255,Filme_8434,18,35288.66,355521,YouTube,351021.81,0.26,70947
Campanha_1466,Filme_8821,10,10729.29,899353,YouTube,34524.94,2.02,61739
Campanha_4620,Filme_1864,18,42595.58,290011,Google Ads,61288.45,4.4,53756
Campanha_1421,Filme_8852,16,33875.72,829208,YouTube,123253.53,3.05,73593
Campanha_2044,Filme_8319,16,24547.3,476963,Google Ads,28954.31,0.38,90131
Campanha_9502,Filme_6620,14,2915.02,218668,Google Ads,17709.98,2.16,9758
Campanha_7175,Filme_6676,14,19869.02,426991,LinkedIn,61634.15,7.0,69476
Campanha_1003,Filme_5150,10,20822.1,470757,Instagram,42381.32,1.46,85691
Campanha_5164,Filme_5094,0,45396.29,635667,Twitter,442905.6,9.2,126985
Campanha_6422,Filme_9463,16,42558.64,488254,Facebook,137118.68,6.29,81225
Campanha_6938,Filme_6674,14,38166.59,142578,YouTube,375867.15,2.11,20481
Campanha_418,Filme_3595,14,34303.78,44788,Twitter,57041.46,0.79,1730
Campanha_7254,Filme_2267,10,15001.31,42844,LinkedIn,75220.93,0.67,2133
Campanha_2213,Filme_8530,14,48113.34,915686,Twitter,149758.4,5.34,20924
Campanha_7090,Filme_4045,10,42864.22,717909,Twitter,146088.55,1.1,137935
Campanha_8542,Filme_4103,0,22541.68,803353,Google Ads,80313.62,4.57,67030
Campanha_9204,Filme_2993,10,11853.75,369141,Facebook,74953.71,9.65,62574
Campanha_7742,Filme_5911,18,18751.72,970759,Facebook,104059.88,4.52,100137
Campanha_4581,Filme_5689,10,45937.68,228463,Instagram,252550.83,8.05,27662
Campanha_9976,Filme_8317,16,17989.35,571986,YouTube,61885.64,1.52,84750
Campanha_8607,Filme_1368,0,32724.24,690868,Facebook,260102.47,1.62,28040
Campanha_1018,Filme_7565,0,24119.19,429675,Facebook,232960.48,9.97,45339
Campanha_3501,Filme_3608,0,14087.01,966226,Twitter,62675.97,7.24,80843
Campanha_5220,Filme_6253,0,19710.86,592805,YouTube,126020.75,9.05,31127
Campanha_2154,Filme_931,0,39387.73,380572,Facebook,211877.3,3.53,53502
Campanha_10000,Filme_5470,18,34551.82,793316,Google Ads,254822.06,3.62,66927
Campanha_6277,Filme_1894,0,38281.43,272573,YouTube,87561.89,0.32,35099
Campanha_5717,Filme_3770,14,5573.09,663968,Google Ads,43337.55,3.16,57119
Campanha_8229,Filme_1185,0,44908.53,241921,LinkedIn,343743.75,4.66,9004
Campanha_1279,Filme_906,10,33099.12,678083,YouTube,87633.9,9.8,58837
Campanha_1628,Filme_9316,12,21867.49,628557,YouTube,155952.18,1.82,92002
Campanha_5284,Filme_3870,14,8252.01,143877,YouTube,50426.81,5.97,10539
Campanha_9710,Filme_7082,16,9925.26,690615,Twitter,52590.6,3.77,89586
Campanha_5226,Filme_5068,16,25754.13,684196,Twitter,131946.38,5.69,38595
