nome,titulo,faixa_etaria,budget_total,expectativa_alcance,canal_marketing,roi,cpc,numero_conversoes
Campanha_48,Filme_6732,10,44853.14,5296,LinkedIn,15938.43,4.83,886
Campanha_6248,Filme_9013,18,71009.17,7933,Twitter,65772.76,2.0,1006
Campanha_1877,Filme_5506,18,65648.12,13884,Google Ads,49781.64,4.28,2643
Campanha_1842,Filme_4739,14,57726.79,11127,Google Ads,21110.61,4.33,2091
Campanha_9924,Filme_280,14,36722.26,4067,Twitter,17334.67,1.93,130
Campanha_288,Filme_9773,18,101758.18,21801,YouTube,76329.6,3.58,3212
Campanha_1015,Filme_5909,10,55736.71,11071,YouTube,25030.2,4.52,692
Campanha_790,Filme_651,14,91946.65,12508,Instagram,24562.97,2.72,212
Campanha_8943,Filme_8367,16,79349.13,11156,Instagram,96320.86,2.83,489
Campanha_7528,Filme_5487,16,61094.06,8272,Twitter,49748.37,1.59,1242
Campanha_3071,Filme_4861,10,41474.25,5574,Twitter,31210.48,1.69,266
Campanha_5783,Filme_7783,10,103769.55,12449,LinkedIn,46928.27,5.67,1269
Campanha_8653,Filme_1887,16,197567.42,21114,LinkedIn,91300.04,3.63,3724
Campanha_6506,Filme_4234,0,9554.05,1139,Twitter,17997.97,1.96,226
Campanha_8154,Filme_8589,14,56020.33,7923,Instagram,54634.83,1.92,285
Campanha_8982,Filme_9635,12,42587.95,5260,Twitter,81602.78,1.79,532
Campanha_7749,Filme_7820,14,83139.65,8184,LinkedIn,32195.97,4.03,280
Campanha_1040,Filme_8966,12,160976.02,34339,YouTube,72413.84,3.08,1623
Campanha_1667,Filme_6463,0,72277.91,15245,Facebook,20594.36,2.73,2516
Campanha_8741,Filme_2708,16,65251.19,7904,Instagram,69063.38,2.68,319
Campanha_787,Filme_6301,16,20519.09,2980,Instagram,13956.81,2.65,351
Campanha_8291,Filme_9726,14,119384.0,18635,Facebook,117607.08,3.53,3455
Campanha_5971,Filme_6524,10,23193.52,2887,Instagram,29525.48,2.5,242
Campanha_3792,Filme_4621,18,132376.98,22707,Google Ads,91919.21,2.91,3416
Campanha_1688,Filme_9282,0,109976.19,18395,Facebook,28521.39,2.28,707
Campanha_1852,Filme_4780,0,57513.23,10789,Facebook,51576.07,3.31,347
Campanha_8177,Filme_2430,12,37096.18,4918,Twitter,70159.39,1.49,175
Campanha_818,Filme_2935,0,40552.28,5032,Instagram,40026.89,2.39,937
Campanha_8846,Filme_9385,18,86650.31,14377,Instagram,78494.22,2.7,553
Campanha_6184,Filme_9644,10,85153.78,15170,Instagram,49210.98,2.42,2516
Campanha_8664,Filme_7400,12,31150.47,3929,Instagram,22266.74,1.66,626
Campanha_7266,Filme_5468,16,29140.48,3694,Instagram,35259.56,1.88,297
Campanha_9090,Filme_9409,14,39830.73,8588,YouTube,16140.18,5.16,965
Campanha_1857,Filme_7756,18,62533.81,8796,Instagram,23531.01,2.23,195
Campanha_6498,Filme_8997,10,98151.59,16625,Instagram,70947.49,2.71,622
Campanha_3005,Filme_4282,12,141901.77,31241,YouTube,38593.25,2.9,3703
Campanha_8003,Filme_119,10,95948.15,17705,Facebook,64826.48,2.6,371
Campanha_5887,Filme_9371,0,46733.21,8860,Facebook,15104.66,3.11,436
Campanha_6074,Filme_1033,10,118405.5,11076,LinkedIn,81506.82,5.24,968
Campanha_925,Filme_3239,18,50639.87,10146,YouTube,35623.18,4.3,187
Campanha_438,Filme_9807,0,28338.4,2456,LinkedIn,17535.7,4.44,146
Campanha_2340,Filme_5093,14,102783.1,21102,Facebook,71528.68,3.74,2257
Campanha_5146,Filme_4265,16,43193.61,4621,Twitter,40908.09,1.67,855
Campanha_3495,Filme_7726,16,10496.66,1814,Instagram,13499.46,1.83,42
Campanha_5506,Filme_2604,10,73144.88,9411,Twitter,102040.29,1.58,1458
Campanha_8915,Filme_4955,12,25009.09,3438,Twitter,40325.75,1.56,260
Campanha_5661,Filme_5285,18,89355.47,15189,Facebook,74474.29,2.15,1291
Campanha_3143,Filme_135,0,85756.0,13320,Facebook,35931.31,2.81,2291
Campanha_4514,Filme_6825,18,23491.82,4120,Google Ads,11770.95,2.64,588
Campanha_258,Filme_2684,12,57771.52,9556,Instagram,22364.32,2.05,453
Campanha_8175,Filme_4864,12,114364.24,24531,YouTube,89920.14,4.85,1750
Campanha_5788,Filme_7064,0,82857.64,7730,LinkedIn,26210.85,3.7,973
Campanha_4536,Filme_7518,14,73006.5,11180,Instagram,86764.57,2.27,691
Campanha_3566,Filme_8358,16,41478.98,10359,YouTube,10121.45,4.39,1963
Campanha_7280,Filme_6743,0,57234.18,10730,Facebook,13887.37,3.61,1017
Campanha_1248,Filme_1441,0,99991.26,24170,YouTube,14836.5,4.07,1889
Campanha_7200,Filme_606,0,131563.39,30104,YouTube,42219.55,4.33,5156
Campanha_8182,Filme_5998,14,18679.03,3967,YouTube,4917.2,3.03,665
Campanha_7198,Filme_8335,10,59467.02,10032,Google Ads,55218.27,3.24,1246
Campanha_4076,Filme_7274,0,142473.58,32035,Google Ads,90846.47,2.96,4256
Campanha_1828,Filme_7224,16,49166.63,9717,Google Ads,34104.59,2.56,584
Campanha_31,Filme_4218,14,35560.94,4866,Twitter,27162.9,1.37,405
Campanha_3817,Filme_8776,14,33370.13,6059,Facebook,9179.4,2.69,172
Campanha_6603,Filme_9290,12,40850.0,8558,YouTube,10431.28,2.87,456
Campanha_3420,Filme_9965,10,71845.01,9758,Instagram,49031.82,2.93,602
Campanha_5795,Filme_2041,16,60985.51,12528,Facebook,46119.51,2.51,644
Campanha_8781,Filme_9706,0,44471.98,6274,Twitter,43637.18,2.09,844
Campanha_4210,Filme_5648,16,51711.38,5287,Twitter,100971.57,1.63,151
Campanha_7536,Filme_3296,10,49866.24,10207,Facebook,16373.48,3.6,289
Campanha_9201,Filme_8135,14,182909.51,21506,LinkedIn,61990.51,3.85,427
Campanha_7539,Filme_8861,0,78053.17,7600,LinkedIn,33168.57,4.05,639
Campanha_528,Filme_7445,16,77841.02,18471,Google Ads,28876.5,4.49,1757
Campanha_8523,Filme_4131,12,111658.2,20415,Google Ads,48671.75,4.17,2494
Campanha_4761,Filme_1163,12,98684.6,12297,Instagram,94808.39,1.95,1725
Campanha_3505,Filme_1588,14,48897.49,9680,Facebook,22901.3,2.61,1437
Campanha_9901,Filme_6035,18,146208.89,27770,Google Ads,129870.64,2.53,4867
Campanha_5776,Filme_164,16,134098.7,32223,YouTube,107903.28,3.23,901
Campanha_4272,Filme_8366,0,77734.68,8014,LinkedIn,36733.24,5.62,494
Campanha_7473,Filme_3559,16,117193.31,9687,LinkedIn,47398.41,3.98,1824
Campanha_9898,Filme_7119,0,22807.27,2204,LinkedIn,9126.32,4.81,155
Campanha_5708,Filme_8077,16,14535.83,2052,Twitter,22607.72,1.51,360
Campanha_9885,Filme_8713,16,136485.87,28480,YouTube,98914.03,4.19,4733
Campanha_1716,Filme_9370,18,163523.03,30351,YouTube,99523.13,4.15,4087
Campanha_3954,Filme_4935,16,171081.41,44281,YouTube,95016.41,3.43,7165
Campanha_4264,Filme_5525,10,131536.91,27041,Google Ads,110561.34,4.26,2412
Campanha_9436,Filme_907,12,81541.68,10737,Instagram,98170.31,2.4,516
Campanha_1151,Filme_1880,12,168776.97,18513,LinkedIn,85257.75,3.32,1046
Campanha_6070,Filme_5799,18,199048.2,23449,LinkedIn,145530.27,4.93,3554
Campanha_4029,Filme_5952,0,52815.88,11091,Google Ads,27383.03,4.28,793
Campanha_577,Filme_8218,18,48168.35,6893,Twitter,83151.1,1.49,777
